,Country,Date,Vaccine_Manufacturer,Protection from Alpha var- Severe Disease,Protection from Alpha var - Infection,Protection from Delta var - Severe Disease,Protection from Delta var - Infection,Protection from Omicron var - Severe Disease,Protection from Omicron var - Infection,Total_Vaccinations
293,Austria,2022-10-04,Novavax,12738,11879,12308,11736,9303,6154,14312
294,Austria,2022-10-04,Pfizer/BioNTech,14957304,13540296,14957304,13225405,11336062,6927593,15744530
295,Austria,2022-10-04,Valneva,443,414,431,408,325,213,591
296,Austria,2022-10-04,Johnson&Johnson,316551,265019,279742,235572,209807,121467,368082
297,Austria,2022-10-04,Moderna,1597016,1514695,1597016,1498231,1201878,790276,1646408
298,Slovakia,2022-10-04,Pfizer/BioNTech,4888100,4425016,4888100,4322109,3704665,2263962,5145368
299,Slovakia,2022-10-04,Johnson&Johnson,160184,134107,141558,119206,106168,61466,186260
300,Poland,2022-10-04,Johnson&Johnson,2341488,1960315,2069222,1742502,1551916,898478,2722660
301,Poland,2022-10-04,Moderna,3669760,3480597,3669760,3442765,2761778,1815964,3783258
302,Poland,2022-10-04,Novavax,13306,12409,12857,12259,9718,6429,14950
303,Poland,2022-10-04,Pfizer/BioNTech,39077228,35375175,39077228,34552496,29616425,18098927,41133924
304,Croatia,2022-10-04,Moderna,500016,474242,500016,469087,376300,247430,515480
305,Croatia,2022-10-04,Pfizer/BioNTech,3794225,3434772,3794225,3354894,2875623,1757325,3993921
306,Finland,2022-10-04,Pfizer/BioNTech,9748710,8825148,9748710,8619912,7388496,4515192,10261800
307,Slovakia,2022-10-04,Novavax,3256,3036,3146,3000,2378,1573,3658
308,Slovakia,2022-10-04,Moderna,658622,624673,658622,617883,495664,325916,678992
309,Ireland,2022-10-04,Moderna,1521981,1443529,1521981,1427838,1145409,753145,1569053
310,Ireland,2022-10-04,Pfizer/BioNTech,8236508,7456207,8236508,7282807,6242406,3814804,8670008
311,Croatia,2022-10-04,Johnson&Johnson,175878,147246,155427,130886,116570,67488,204509
312,Switzerland,2022-10-08,Novavax,561,523,542,517,410,271,630
313,Switzerland,2022-10-08,Pfizer/BioNTech,5701709,5161547,5701709,5041511,4321295,2640792,6001799
314,Switzerland,2022-10-08,Johnson&Johnson,54059,45258,47773,40230,35830,20743,62859
315,Canada,2022-10-09,Johnson&Johnson,20006,16749,17680,14888,13260,7677,23263
316,Canada,2022-10-09,Moderna,26039569,24697323,26039569,24428874,19596789,12885560,26844916
317,Canada,2022-10-09,Novavax,22675,21147,21911,20892,16561,10956,25478
318,Canada,2022-10-09,Oxford/AstraZeneca,2645578,1773100,2645578,1941967,1998256,1013200,2814445
319,Canada,2022-10-09,Pfizer/BioNTech,57458127,52014726,57458127,50805081,43547212,26612185,60482239
320,United States,2022-10-12,Johnson&Johnson,16268144,13619842,14376500,12106526,10782375,6242428,18916447
321,United States,2022-10-12,Moderna,228684310,216896459,228684310,214538889,172102625,113163370,235757021
322,United States,2022-10-12,Pfizer/BioNTech,353832754,320311756,353832754,312862645,268167982,163880433,372455530
323,Uruguay,2022-10-12,Oxford/AstraZeneca,85673,57419,85673,62887,64710,32811,91141
324,Argentina,2022-10-13,Oxford/AstraZeneca,25153667,16858309,25153667,18463862,18999046,9633319,26759220
325,France,2022-10-13,Johnson&Johnson,937150,784590,828179,697414,621134,359604,1089709
326,Argentina,2022-10-14,Sputnik V,19083230,17838671,18460950,17631245,11408453,7467351,20742641
327,Argentina,2022-10-15,CanSino,646625,607436,627030,597638,470273,313515,979735
328,Peru,2022-10-15,Sinopharm/Beijing,15484854,14424248,15060612,14212126,11242428,7424245,21212129
329,Peru,2022-10-15,Pfizer/BioNTech,47918486,43378840,47918486,42370030,36317169,22193825,50440512
330,Peru,2022-10-15,Oxford/AstraZeneca,7541431,5054363,7541431,5535731,5696187,2888208,8022799
331,Peru,2022-10-15,Moderna,4952170,4696904,4952170,4645850,3726891,2450558,5105330
332,Argentina,2022-10-16,Moderna,12854641,12192030,12854641,12059508,9674111,6361059,13252207
333,Argentina,2022-10-16,Pfizer/BioNTech,18179403,16457144,18179403,16074420,13778074,8419934,19136214
334,Argentina,2022-10-16,Sinopharm/Beijing,21081061,19637153,20503498,19348371,15305428,10107358,28878166
335,France,2022-10-16,Pfizer/BioNTech,111412846,100857945,111412846,98512411,84439210,51601739,117276680
336,France,2022-10-16,Novavax,29606,27610,28608,27277,21622,14304,33265
337,France,2022-10-16,Moderna,23220053,22023143,23220053,21783761,17474885,11490336,23938199
338,Hong Kong,2022-10-16,Pfizer/BioNTech,10645724,9637182,10645724,9413061,8068338,4930651,11206025
339,Hong Kong,2022-10-16,Sinovac,4244017,3989376,4159136,3904495,3140572,2037128,8488033
340,South Korea,2022-10-17,Pfizer/BioNTech,77204902,69890753,77204902,68265387,58513189,35758060,81268318
341,Czechia,2022-10-17,Johnson&Johnson,355904,297966,314520,264859,235890,136568,413842
342,Czechia,2022-10-17,Novavax,9317,8688,9002,8584,6804,4501,10468
343,Czechia,2022-10-17,Moderna,1585708,1503971,1585708,1487623,1193368,784680,1634751
344,Czechia,2022-10-17,Pfizer/BioNTech,14527608,13151308,14527608,12845464,11010398,6728576,15292219
345,Germany,2022-10-17,Johnson&Johnson,3226917,2701605,2851694,2401427,2138771,1238236,3752229
346,Germany,2022-10-17,Pfizer/BioNTech,130752326,118365263,130752326,115612583,99096499,60558972,137634027
347,Germany,2022-10-17,Novavax,133180,124202,128691,122706,97267,64346,149641
348,Germany,2022-10-17,Oxford/AstraZeneca,12029343,8062219,12029343,8830049,9085993,4606982,12797173
349,Uruguay,2022-10-17,Pfizer/BioNTech,2428415,2198354,2428415,2147230,1840483,1124739,2556226
350,Germany,2022-10-17,Valneva,1141,1065,1110,1049,837,548,1521
351,Italy,2022-10-17,Moderna,33215987,31503823,33215987,31161390,24997599,16436777,34243286
352,Italy,2022-10-17,Pfizer/BioNTech,88671805,80271318,88671805,78404543,67203894,41069046,93338742
353,Japan,2022-10-17,Moderna,76798869,72840165,76798869,72048424,57797087,38003564,79174092
354,Japan,2022-10-17,Novavax,200365,186857,193611,184606,146334,96805,225129
355,Japan,2022-10-17,Pfizer/BioNTech,235544384,213229653,235544384,208270824,178517849,109094241,247941457
356,South Korea,2022-10-17,Johnson&Johnson,1328326,1112087,1173869,988522,880402,509706,1544565
357,South Korea,2022-10-17,Moderna,24494990,23232362,24494990,22979836,18434374,12121232,25252567
358,South Korea,2022-10-17,Novavax,748420,697964,723192,689555,546599,361596,840921
359,Germany,2022-10-17,Moderna,30601356,29023967,30601356,28708489,23029887,15142939,31547790
360,South Korea,2022-10-17,SKYCovione,512,478,712,673,536,351,975
361,South Africa,2022-10-18,Johnson&Johnson,7966889,6669953,7040506,5928847,5280380,3057062,9263824
362,South Africa,2022-10-18,Pfizer/BioNTech,27037439,24475997,27037439,23906788,20491533,12522603,28460462
